tic;x;y;z;angle;momx;momy;shield;health;ammo;sector_x;sector_y
33912;3009;-3567;-24;20250;-6;-6;94;84;54;12;-14
33947;2933;-3614;-24;17086;5;-1;94;84;54;11;-14
33982;2869;-3602;-24;17086;-4;1;94;84;54;11;-14
34017;3009;-3619;-24;17438;6;-2;94;84;54;12;-14
34052;3001;-3701;-24;25875;-4;-7;94;84;54;12;-14
34087;3016;-3964;-24;28336;1;-9;94;84;54;12;-15
34122;3031;-3991;-24;27809;0;-3;94;84;54;12;-15
34157;3018;-4205;-24;27457;-1;-4;94;84;53;12;-16
34192;3015;-4243;-24;27809;-1;0;93;82;52;12;-16
34227;3005;-4171;-24;27281;-1;0;88;72;51;12;-16
34275;3008;-4159;-24;23941;0;0;85;66;49;12;-16
34328;3015;-4121;-24;28512;0;-1;85;66;47;12;-16
34363;3068;-4320;-24;24820;0;-5;85;66;47;12;-17
34398;2998;-4390;-24;19195;-7;-3;85;66;47;11;-17
34433;2729;-4433;-24;19020;-7;-1;86;91;47;10;-17
34490;2724;-4386;-24;4078;3;3;86;91;47;10;-17
34525;2780;-4201;-24;14098;-4;6;86;91;47;11;-16
34560;2723;-4145;-24;4078;-1;0;86;92;57;10;-16
34604;2869;-4212;-24;28652;4;-6;86;93;57;11;-16
34639;2832;-4344;-24;27422;-2;-4;86;93;57;11;-17
34674;2863;-4489;-24;387;0;-2;86;93;57;11;-17
34709;3051;-4456;-24;738;7;1;86;93;57;12;-17
34744;3305;-4431;-24;2848;2;0;86;94;57;13;-17
34801;3297;-4386;-24;12164;-1;2;86;94;57;13;-17
34836;3196;-4280;-24;7770;-2;7;86;94;57;12;-17
34871;3157;-4250;-24;13219;2;-3;86;94;57;12;-17
34906;3194;-4251;-24;11109;-2;6;86;94;57;12;-17
34957;3148;-4177;-24;1441;2;0;86;95;57;12;-16
34992;3311;-4183;-24;3375;-2;-1;86;95;67;13;-16
35027;3245;-4222;-24;3375;-1;-1;86;95;67;12;-16
35228;3244;-4167;-24;26895;0;0;86;95;67;12;-16
35263;3213;-4358;-24;24609;-3;-8;86;95;67;12;-17
35298;3119;-4484;-24;15996;-6;1;86;95;67;12;-17
35333;2953;-4410;-24;7031;-2;0;86;95;67;11;-17
35368;2983;-4250;-24;8262;1;8;86;95;67;11;-17
35403;3011;-4049;-24;8262;0;0;86;95;67;12;-16
35462;2991;-4206;-24;7559;-1;-5;86;95;67;11;-16
